column,description,unit,source
country,Country - Geographic location.,,Our World in Data - Regions (2022)
year,Year - Year of observation.,,Our World in Data - Regions (2022)
iso_code,ISO code - ISO 3166-1 alpha-3 three-letter country codes.,,International Organization for Standardization - Regions (2023)
population,"Population - Population by country, available from 10,000 BCE to 2100, based on data and estimates from different sources.",persons,Population based on various sources (2023) [https://ourworldindata.org/population-sources]
cement_co2,"Annual CO₂ emissions from cement - Annual emissions of carbon dioxide (CO₂) from cement, measured in million tonnes.",million tonnes,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
cement_co2_per_capita,"Annual CO₂ emissions from cement (per capita) - Annual emissions of carbon dioxide (CO₂) from cement, measured in tonnes per person.",tonnes per person,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
co2,"Annual CO₂ emissions - Annual total emissions of carbon dioxide (CO₂), excluding land-use change, measured in million tonnes.",million tonnes,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
co2_growth_abs,"Annual CO₂ emissions growth (abs) - Annual growth in total emissions of carbon dioxide (CO₂), excluding land-use change, measured in million tonnes.",million tonnes,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
co2_growth_prct,"Annual CO₂ emissions growth (%) - Annual percentage growth in total emissions of carbon dioxide (CO₂), excluding land-use change.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
co2_including_luc,"Annual CO₂ emissions including land-use change - Annual total emissions of carbon dioxide (CO₂), including land-use change, measured in million tonnes.",million tonnes,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
co2_including_luc_growth_abs,"Growth rate of emissions including land-use change - Annual growth in total emissions of carbon dioxide (CO₂), including land-use change, measured in million tonnes.",million tonnes,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
co2_including_luc_growth_prct,"Growth rate of emissions including land-use change (%) - Annual percentage growth in total emissions of carbon dioxide (CO₂), including land-use change.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
co2_including_luc_per_capita,"Annual CO₂ emissions including land-use change per capita - Annual emissions of carbon dioxide (CO₂), including land-use change, measured in tonnes per person.",tonnes per person,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
co2_including_luc_per_unit_energy,"Annual CO₂ emissions including land-use change per unit energy - Annual total emissions of carbon dioxide (CO₂), including land-use change, measured in kilograms per kilowatt-hour of primary energy consumption.",kilograms per kilowatt-hour,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]; U.S. Energy Information Administration - International Energy Data (2023) [https://www.eia.gov/opendata/bulkfiles.php]; Energy Institute - Statistical Review of World Energy (2023) [https://www.energyinst.org/statistical-review/]
co2_per_capita,"Annual CO₂ emissions (per capita) - Annual total emissions of carbon dioxide (CO₂), excluding land-use change, measured in tonnes per person.",tonnes per person,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]; Population based on various sources (2023) [https://ourworldindata.org/population-sources]
