country,year,iso_code,population,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_unit_energy,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,energy_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,land_use_change_co2,land_use_change_co2_per_capita,oil_co2,oil_co2_per_capita,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2
China,1990,CHN,1153704192.0,84.513,0.073,2484.855,21.2,0.861,3852.928,-58.951,-1.507,3.34,0.485,2.154,0.313,1976.684,1.713,925.744,43404.617,85172.0,35176.438,30.613,473.096,46445.609,5646.984,6880.663,0.0,0.0,29.301,0.025,1368.074,1.186,330.291,0.286,7938.249,17.121,10.921,13.8,22.716,7.559,5.373,5.92,8.041,0.374,0.598,7.308,2.099,0.0,0.765,26.478,3.573
China,1991,CHN,1170626176.0,101.305,0.087,2606.096,121.241,4.879,3619.209,-233.719,-6.066,3.092,0.434,2.226,0.313,2049.92,1.751,1027.049,46010.711,88791.211,37226.355,30.613,503.873,47458.723,6003.011,7122.351,0.0,0.0,30.778,0.026,1013.113,0.865,356.027,0.304,8337.61,19.963,11.219,12.845,23.796,8.053,5.536,6.053,8.345,0.362,0.607,7.41,2.154,0.0,0.787,20.481,3.667
China,1992,CHN,1183813376.0,122.445,0.103,2730.788,124.691,4.785,3785.728,166.519,4.601,3.198,0.431,2.307,0.311,2114.715,1.786,1149.494,48741.5,92576.938,39341.074,30.613,534.112,48513.664,6388.804,7411.395,0.0,0.0,30.239,0.026,1054.941,0.891,385.793,0.326,8773.708,23.166,12.101,13.622,25.147,8.654,5.71,6.193,8.656,0.352,0.614,7.513,2.219,0.0,0.764,20.198,4.188
China,1993,CHN,1195855616.0,142.774,0.119,2921.651,190.863,6.989,4008.885,223.157,5.895,3.352,0.424,2.443,0.309,2228.745,1.864,1292.268,51663.152,96585.828,41569.816,30.613,569.84,49600.898,6817.353,7908.675,0.0,0.0,35.728,0.03,1087.234,0.909,428.549,0.358,9457.634,25.899,12.815,14.355,26.186,9.341,5.894,6.343,8.978,0.343,0.626,7.621,2.294,0.0,0.878,21.198,4.649
China,1994,CHN,1207286656.0,164.377,0.136,3103.739,182.088,6.232,4303.095,294.21,7.339,3.564,0.428,2.571,0.309,2380.586,1.972,1456.645,54766.887,100888.922,43950.402,34.349,611.408,50800.25,7241.064,8323.468,3.737,0.003,41.568,0.034,1199.356,0.993,423.712,0.351,10048.812,27.935,13.474,14.935,27.813,10.1,6.089,6.503,9.32,0.372,0.642,7.737,2.363,1.187,1.013,20.763,4.579
China,1995,CHN,1218144384.0,184.637,0.152,3361.637,257.898,8.309,4453.87,150.775,3.504,3.656,0.43,2.76,0.325,2569.754,2.11,1641.281,58128.523,105342.797,46520.156,38.078,653.844,51892.484,7709.294,8498.712,3.728,0.003,42.436,0.035,1092.233,0.897,468.23,0.384,10352.658,29.671,14.29,15.272,29.191,10.91,6.298,6.664,9.684,0.398,0.658,7.836,2.442,1.142,1.008,19.368,5.014
China,1996,CHN,1228298880.0,192.853,0.157,3508.818,147.181,4.378,4652.544,198.674,4.461,3.788,0.427,2.857,0.322,2660.401,2.166,1834.135,61637.344,109995.336,49180.559,43.662,698.315,53036.211,8219.917,8880.126,5.584,0.005,44.47,0.036,1143.726,0.931,510.622,0.416,10907.449,30.365,14.469,15.382,29.48,11.698,6.507,6.828,10.049,0.44,0.673,7.937,2.527,1.593,1.011,19.071,5.307
China,1997,CHN,1237801472.0,202.874,0.164,3515.594,6.776,0.193,4659.896,7.351,0.158,3.765,0.424,2.84,0.32,2609.556,2.108,2037.009,65152.938,114655.234,51790.113,49.087,742.473,54180.512,8777.878,8871.482,5.425,0.004,44.159,0.036,1144.301,0.924,557.961,0.451,10981.134,30.699,14.411,14.618,29.067,12.466,6.705,6.979,10.392,0.478,0.686,8.018,2.619,1.537,1.001,15.296,5.713
China,1998,CHN,1246836096.0,211.369,0.17,3364.587,-151.007,-4.295,4430.843,-229.052,-4.915,3.554,0.403,2.699,0.306,2444.771,1.961,2248.377,68517.523,119086.07,54234.887,53.219,792.974,55246.766,9337.141,8822.785,4.132,0.003,50.501,0.041,1066.255,0.855,559.262,0.449,11000.566,32.106,13.828,14.529,27.985,13.227,6.879,7.117,10.695,0.502,0.704,8.102,2.706,1.227,1.126,17.295,5.653
China,1999,CHN,1255433216.0,228.322,0.182,3557.275,192.687,5.727,4461.806,30.963,0.699,3.554,0.392,2.834,0.312,2580.992,2.056,2476.699,72074.797,123547.875,56815.879,57.652,847.545,56151.297,9933.892,9069.433,4.433,0.004,54.572,0.043,904.531,0.72,596.751,0.475,11386.067,33.066,14.325,14.469,29.122,14.001,7.06,7.25,11.012,0.527,0.723,8.163,2.797,1.343,1.188,15.065,5.888
