country,year,iso_code,population,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_unit_energy,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,energy_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,land_use_change_co2,land_use_change_co2_per_capita,oil_co2,oil_co2_per_capita,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2
Canada,1990,CAN,27657206.0,5.823,0.211,458.503,-4.382,-0.947,698.519,-10.281,-1.451,25.256,0.232,16.578,0.152,99.384,3.593,173.276,17166.67,52048.156,6709.856,147.124,2701.608,34881.855,7431.676,108781.125,11.96,0.432,125.716,4.546,240.016,8.678,212.49,7.683,3008.582,1.18,2.015,2.502,1.142,1.415,2.125,3.617,1.534,1.8,3.414,5.489,2.763,4.621,3.282,4.645,2.298
Canada,1991,CAN,28015762.0,4.771,0.17,450.16,-8.343,-1.82,676.602,-21.917,-3.138,24.151,0.224,16.068,0.149,104.32,3.724,178.047,17616.83,52724.758,6814.176,159.28,2826.985,35108.297,7631.937,107826.0,12.155,0.434,125.377,4.475,226.442,8.083,200.261,7.148,3020.828,0.94,1.938,2.401,1.211,1.396,2.12,3.594,1.528,1.885,3.404,5.482,2.738,4.436,3.207,4.578,2.063
Canada,1992,CAN,28347644.0,4.804,0.169,464.013,13.853,3.077,692.569,15.967,2.36,24.431,0.223,16.369,0.15,107.115,3.779,182.851,18080.842,53417.324,6921.292,172.475,2959.646,35336.855,7835.194,109417.391,13.195,0.465,132.662,4.68,228.556,8.063,203.258,7.17,3101.725,0.909,2.056,2.492,1.274,1.377,2.118,3.574,1.523,1.984,3.402,5.473,2.721,5.453,3.35,4.376,2.207
Canada,1993,CAN,28668168.0,4.893,0.171,464.554,0.541,0.117,691.927,-0.642,-0.093,24.136,0.218,16.205,0.146,99.073,3.456,187.744,18545.396,54109.254,7020.365,185.82,3097.409,35564.223,8041.729,110924.656,13.345,0.466,137.763,4.805,227.373,7.931,206.534,7.204,3180.007,0.888,2.038,2.478,1.164,1.357,2.116,3.553,1.516,2.082,3.401,5.464,2.706,5.701,3.387,4.433,2.24
Canada,1994,CAN,28981190.0,5.769,0.199,479.033,14.479,3.117,708.337,16.41,2.372,24.441,0.215,16.529,0.145,102.727,3.545,193.513,19024.43,54817.59,7123.092,200.454,3238.387,35793.531,8253.399,113906.836,14.634,0.505,140.978,4.864,229.304,7.912,211.67,7.304,3301.156,0.98,2.08,2.459,1.2,1.342,2.115,3.533,1.511,2.169,3.403,5.451,2.694,4.648,3.437,3.97,2.287
Canada,1995,CAN,29289430.0,6.529,0.223,491.826,12.793,2.671,722.819,14.482,2.045,24.679,0.214,16.792,0.145,104.557,3.57,200.042,19516.254,55540.406,7227.649,215.356,3386.648,36024.523,8467.747,115464.414,14.902,0.509,148.261,5.062,230.994,7.887,214.348,7.318,3381.887,1.049,2.091,2.478,1.188,1.33,2.114,3.514,1.505,2.251,3.408,5.44,2.682,4.565,3.522,4.096,2.295
Canada,1996,CAN,29593856.0,6.185,0.209,508.197,16.371,3.329,738.65,15.831,2.19,24.96,0.213,17.172,0.146,106.522,3.599,206.228,20024.451,56279.059,7334.171,231.472,3541.682,36254.977,8688.852,117390.445,16.116,0.545,155.034,5.239,230.454,7.787,221.106,7.471,3474.036,0.974,2.096,2.442,1.18,1.315,2.114,3.494,1.499,2.334,3.413,5.425,2.671,4.597,3.526,3.843,2.298
Canada,1997,CAN,29882752.0,6.657,0.223,522.577,14.381,2.83,759.618,20.968,2.839,25.42,0.218,17.488,0.15,113.401,3.795,212.885,20547.029,57038.676,7447.572,247.743,3695.373,36492.016,8917.943,116831.453,16.272,0.545,153.691,5.143,237.041,7.932,229.091,7.666,3491.245,1.007,2.142,2.383,1.263,1.303,2.115,3.472,1.494,2.412,3.415,5.4,2.661,4.61,3.482,3.169,2.346
Canada,1998,CAN,30144816.0,6.828,0.227,530.276,7.699,1.473,762.534,2.916,0.384,25.296,0.222,17.591,0.154,119.626,3.968,219.713,21077.305,57801.211,7567.198,265.735,3845.817,36724.277,9149.957,114154.594,17.992,0.597,150.444,4.991,232.258,7.705,232.014,7.697,3441.169,1.037,2.179,2.5,1.369,1.293,2.116,3.454,1.492,2.505,3.413,5.386,2.652,5.344,3.354,3.767,2.345
Canada,1999,CAN,30399776.0,7.118,0.234,544.482,14.206,2.679,773.598,11.064,1.451,25.447,0.218,17.911,0.153,119.945,3.946,226.832,21621.787,58574.812,7687.143,282.004,4008.747,36953.391,9384.903,116807.078,16.268,0.535,162.93,5.36,229.116,7.537,234.946,7.729,3550.909,1.031,2.193,2.509,1.353,1.282,2.118,3.437,1.49,2.578,3.418,5.372,2.643,4.928,3.546,3.816,2.318
